anxiety_level,self_esteem,depression,headache,sleep_quality,noise_level,living_conditions,basic_needs,academic_performance,study_load,teacher_student_relationship,future_career_concerns,social_support,peer_pressure,anxiety_level_normalized,self_esteem_normalized,depression_normalized,headache_normalized,sleep_quality_normalized,noise_level_normalized,living_conditions_normalized,basic_needs_normalized,academic_performance_normalized,study_load_normalized,teacher_student_relationship_normalized,future_career_concerns_normalized,social_support_normalized,peer_pressure_normalized,stress_level
19,16,6,0,4,3,5,2,4,3,2,1,1,2,4.619047619047619,2.8666666666666667,1.8888888888888888,1.0,1.7999999999999998,3.4,5.0,3.4,1.7999999999999998,3.4,3.4,1.8,4.2,2.6,2.4878306878306877
13,15,14,3,3,3,2,3,3,2,3,3,2,3,3.4761904761904763,3.0,3.074074074074074,3.4,2.6,3.4,2.0,2.6,2.6,2.6,2.6,3.4,3.4,3.4,2.4645943562610233
6,26,2,1,4,1,3,5,4,2,4,1,3,2,2.142857142857143,1.5333333333333332,1.2962962962962963,1.8,1.7999999999999998,1.8,3.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,2.6,2.7099647266313935
14,3,27,3,3,5,3,4,3,5,4,2,1,1,3.6666666666666665,4.6,5.0,3.4,2.6,5.0,3.0,1.7999999999999998,2.6,5.0,1.7999999999999998,2.6,4.2,1.8,1.7944444444444443
14,19,13,2,3,2,3,3,3,3,2,2,3,2,3.6666666666666665,2.466666666666667,2.9259259259259256,2.6,2.6,2.6,3.0,2.6,2.6,3.4,3.4,2.6,2.6,2.6,2.708024691358025
5,27,6,1,4,2,4,4,4,2,4,1,3,1,1.9523809523809523,1.4000000000000004,1.8888888888888888,1.8,1.7999999999999998,2.6,4.0,1.7999999999999998,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,1.8,2.8683862433862437
12,16,13,2,3,3,3,2,3,3,3,2,3,2,3.2857142857142856,2.8666666666666667,2.9259259259259256,2.6,2.6,3.4,3.0,3.4,2.6,3.4,2.6,2.6,2.6,2.6,2.5254850088183423
20,13,8,0,0,3,2,4,4,4,2,3,1,5,4.809523809523809,3.2666666666666666,2.185185185185185,1.0,5.0,3.4,2.0,1.7999999999999998,1.7999999999999998,4.2,3.4,3.4,4.2,5.0,2.4497795414462082
14,16,11,3,3,2,3,3,2,2,3,3,3,2,3.6666666666666665,2.8666666666666667,2.6296296296296298,3.4,2.6,2.6,3.0,2.6,3.4,2.6,2.6,3.4,2.6,2.6,2.5290123456790123
11,21,10,3,3,3,2,3,2,2,2,2,3,2,3.0952380952380953,2.2,2.4814814814814814,3.4,2.6,3.4,2.0,2.6,3.4,2.6,3.4,2.6,2.6,2.6,2.8240299823633155
7,24,3,0,0,5,4,0,1,5,3,1,1,5,2.333333333333333,1.7999999999999998,1.4444444444444444,1.0,5.0,5.0,4.0,5.0,4.2,5.0,2.6,1.8,4.2,5.0,3.3657407407407405
6,25,0,1,4,1,4,4,5,1,5,1,3,2,2.142857142857143,1.666666666666666,1.0,1.8,1.7999999999999998,1.8,4.0,1.7999999999999998,1.0,1.8,1.0,1.8,2.6,2.6,2.6059523809523815
19,13,20,3,1,5,1,1,2,3,2,5,1,5,4.619047619047619,3.2666666666666666,3.962962962962963,3.4,4.2,5.0,1.0,4.2,3.4,3.4,3.4,5.0,4.2,5.0,2.807583774250441
8,28,0,1,4,1,3,5,4,2,5,1,3,1,2.5238095238095237,1.2666666666666666,1.0,1.8,1.7999999999999998,1.8,3.0,1.0,1.7999999999999998,2.6,1.0,1.8,2.6,1.8,2.7801587301587305
10,25,11,3,3,2,2,2,2,2,2,2,2,2,2.9047619047619047,1.666666666666666,2.6296296296296298,3.4,2.6,2.6,2.0,3.4,3.4,2.6,3.4,2.6,3.4,2.6,3.0889329805996475
1,5,1,4,5,2,2,0,2,5,3,3,1,0,1.1904761904761905,4.333333333333334,1.1481481481481481,4.2,1.0,2.6,2.0,5.0,3.4,5.0,2.6,3.4,4.2,1.0,1.6891093474426804
13,27,24,1,5,5,3,3,2,5,0,4,0,1,3.4761904761904763,1.4000000000000004,4.555555555555555,1.8,1.0,5.0,3.0,2.6,3.4,5.0,5.0,4.2,5.0,1.8,3.5013227513227516
11,17,13,3,2,3,3,2,2,3,3,3,3,2,3.0952380952380953,2.7333333333333334,2.9259259259259256,3.4,3.4,3.4,3.0,3.4,3.4,3.4,2.6,3.4,2.6,2.6,2.717548500881834
2,29,1,1,5,1,4,5,4,2,4,1,3,2,1.380952380952381,1.1333333333333329,1.1481481481481481,1.8,1.0,1.8,4.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,2.6,2.8803791887125225
6,3,12,3,5,3,4,3,1,5,2,0,1,2,2.142857142857143,4.6,2.7777777777777777,3.4,1.0,3.4,4.0,2.6,4.2,5.0,3.4,1.0,4.2,2.6,1.6800264550264554
2,27,5,1,5,2,3,5,4,2,4,1,3,1,1.380952380952381,1.4000000000000004,1.7407407407407407,1.8,1.0,2.6,3.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,1.8,2.7300705467372133
9,17,14,3,2,3,2,2,3,2,3,2,2,3,2.7142857142857144,2.7333333333333334,3.074074074074074,3.4,3.4,3.4,2.0,3.4,2.6,2.6,2.6,2.6,3.4,3.4,2.5995149911816577
18,3,20,3,1,4,2,2,2,5,1,4,1,4,4.428571428571429,4.6,3.962962962962963,3.4,4.2,4.2,2.0,3.4,3.4,5.0,4.2,4.2,4.2,4.2,2.1413139329805997
9,21,14,2,2,3,2,2,2,3,3,2,2,2,2.7142857142857144,2.2,3.074074074074074,2.6,3.4,3.4,2.0,3.4,3.4,3.4,2.6,2.6,3.4,2.6,2.8661816578483243
18,14,20,5,1,4,2,1,2,3,2,4,1,4,4.428571428571429,3.1333333333333333,3.962962962962963,5.0,4.2,4.2,2.0,4.2,3.4,3.4,3.4,4.2,4.2,4.2,2.874647266313933
8,29,1,1,5,1,3,4,5,2,5,1,3,2,2.5238095238095237,1.1333333333333329,1.1481481481481481,1.8,1.0,1.8,3.0,1.7999999999999998,1.0,2.6,1.0,1.8,2.6,2.6,2.8529982363315702
9,19,14,2,3,2,2,2,2,3,3,3,3,3,2.7142857142857144,2.466666666666667,3.074074074074074,2.6,2.6,2.6,2.0,3.4,3.4,3.4,2.6,3.4,2.6,3.4,2.7328483245149906
14,22,13,3,3,2,2,2,3,2,3,3,3,3,3.6666666666666665,2.066666666666667,2.9259259259259256,3.4,2.6,2.6,2.0,3.4,2.6,2.6,2.6,3.4,2.6,3.4,2.9330246913580247
16,15,18,4,1,5,2,1,2,3,2,5,1,5,4.0476190476190474,3.0,3.6666666666666665,4.2,4.2,5.0,2.0,4.2,3.4,3.4,3.4,5.0,4.2,5.0,2.9797619047619044
18,1,16,4,1,3,1,1,2,3,1,4,1,4,4.428571428571429,4.866666666666667,3.3703703703703702,4.2,4.2,3.4,1.0,4.2,3.4,3.4,4.2,4.2,4.2,4.2,1.908289241622575
10,25,10,3,2,2,2,2,2,2,2,3,2,3,2.9047619047619047,1.666666666666666,2.4814814814814814,3.4,3.4,2.6,2.0,3.4,3.4,2.6,3.4,3.4,3.4,3.4,3.1827601410934747
6,30,1,1,4,1,3,4,4,1,4,1,3,2,2.142857142857143,1.0,1.1481481481481481,1.8,1.7999999999999998,1.8,3.0,1.7999999999999998,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,2.6,2.9704585537918873
12,15,11,2,2,3,2,2,2,2,2,2,3,3,3.2857142857142856,3.0,2.6296296296296298,2.6,3.4,3.4,2.0,3.4,3.4,2.6,3.4,2.6,2.6,3.4,2.5048059964726628
2,30,0,1,5,1,3,5,4,2,4,1,3,2,1.380952380952381,1.0,1.0,1.8,1.0,1.8,3.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,2.6,2.899206349206349
1,30,6,1,5,2,3,5,4,1,4,1,3,2,1.1904761904761905,1.0,1.8888888888888888,1.8,1.0,2.6,3.0,1.0,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,2.6,2.9283068783068784
13,22,14,3,2,3,3,3,3,2,2,3,3,2,3.4761904761904763,2.066666666666667,3.074074074074074,3.4,3.4,3.4,3.0,2.6,2.6,2.6,3.4,3.4,2.6,2.6,3.00626102292769
15,15,6,5,3,3,2,2,2,0,4,3,1,3,3.857142857142857,3.0,1.8888888888888888,5.0,2.6,3.4,2.0,3.4,3.4,1.0,1.7999999999999998,3.4,4.2,3.4,2.4644179894179894
15,12,27,3,1,4,1,1,2,3,1,4,1,5,3.857142857142857,3.4,5.0,3.4,4.2,4.2,1.0,4.2,3.4,3.4,4.2,4.2,4.2,5.0,2.719047619047619
11,15,10,2,3,3,3,2,2,2,3,2,2,2,3.0952380952380953,3.0,2.4814814814814814,2.6,2.6,3.4,3.0,3.4,3.4,2.6,2.6,2.6,3.4,2.6,2.432363315696649
5,30,7,1,5,1,3,4,5,1,5,1,3,1,1.9523809523809523,1.0,2.037037037037037,1.8,1.0,1.8,3.0,1.7999999999999998,1.0,1.8,1.0,1.8,2.6,1.8,2.866225749559083
15,4,26,3,1,5,2,2,1,4,1,5,1,4,3.857142857142857,4.466666666666667,4.851851851851851,3.4,4.2,5.0,2.0,3.4,4.2,4.2,4.2,5.0,4.2,4.2,2.2878747795414465
10,15,10,3,2,2,3,2,2,3,3,2,3,2,2.9047619047619047,3.0,2.4814814814814814,3.4,3.4,2.6,3.0,3.4,3.4,3.4,2.6,2.6,2.6,2.6,2.4910934744268074
2,30,3,1,4,1,3,4,4,1,4,1,3,1,1.380952380952381,1.0,1.4444444444444444,1.8,1.7999999999999998,1.8,3.0,1.7999999999999998,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,1.8,2.9177248677248677
11,20,13,3,3,3,3,3,3,3,2,3,3,3,3.0952380952380953,2.3333333333333335,2.9259259259259256,3.4,2.6,3.4,3.0,2.6,2.6,3.4,3.4,3.4,2.6,3.4,2.8842151675485006
9,15,13,3,3,3,2,3,3,3,2,3,2,2,2.7142857142857144,3.0,2.9259259259259256,3.4,2.6,3.4,2.0,2.6,2.6,3.4,3.4,3.4,3.4,2.6,2.4600088183421516
4,25,6,1,4,2,4,5,5,1,4,1,3,2,1.7619047619047619,1.666666666666666,1.8888888888888888,1.8,1.7999999999999998,2.6,4.0,1.0,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.660449735449736
17,9,3,3,2,5,4,3,1,2,1,0,1,1,4.238095238095238,3.8,1.4444444444444444,3.4,3.4,5.0,4.0,2.6,4.2,2.6,4.2,1.0,4.2,1.8,2.1784391534391534
13,15,14,2,3,3,2,3,3,3,3,2,3,2,3.4761904761904763,3.0,3.074074074074074,2.6,2.6,3.4,2.0,2.6,2.6,3.4,2.6,2.6,2.6,2.6,2.397927689594357
6,29,3,1,5,1,4,4,5,1,4,1,3,1,2.142857142857143,1.1333333333333329,1.4444444444444444,1.8,1.0,1.8,4.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,1.8,2.857804232804233
5,26,0,1,4,2,4,4,5,2,5,1,3,2,1.9523809523809523,1.5333333333333332,1.0,1.8,1.7999999999999998,2.6,4.0,1.7999999999999998,1.0,2.6,1.0,1.8,2.6,2.6,2.7313492063492064
15,0,26,4,1,5,2,2,1,3,2,4,1,5,3.857142857142857,5.0,4.851851851851851,4.2,4.2,5.0,2.0,3.4,4.2,3.4,3.4,4.2,4.2,5.0,1.9878747795414462
17,15,23,5,1,3,1,2,1,4,2,4,1,4,4.238095238095238,3.0,4.407407407407407,5.0,4.2,3.4,1.0,3.4,4.2,4.2,3.4,4.2,4.2,4.2,2.9102292768959437
21,5,17,5,1,3,1,1,1,5,2,5,1,5,5.0,4.333333333333334,3.5185185185185186,5.0,4.2,3.4,1.0,4.2,4.2,5.0,3.4,5.0,4.2,5.0,2.3716049382716045
4,25,22,0,3,0,1,0,1,5,0,4,0,0,1.7619047619047619,1.666666666666666,4.2592592592592595,1.0,2.6,1.0,1.0,5.0,4.2,5.0,5.0,4.2,5.0,1.0,3.1675485008818347
7,25,17,3,3,0,3,5,0,0,0,4,1,4,2.333333333333333,1.666666666666666,3.5185185185185186,3.4,2.6,1.0,3.0,1.0,5.0,1.0,5.0,4.2,4.2,4.2,3.177160493827161
4,29,4,1,5,2,3,5,4,1,4,1,3,1,1.7619047619047619,1.1333333333333329,1.5925925925925926,1.8,1.0,2.6,3.0,1.0,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,1.8,2.8397707231040568
20,6,23,3,1,4,2,1,2,4,2,5,1,4,4.809523809523809,4.2,4.407407407407407,3.4,4.2,4.2,2.0,4.2,3.4,4.2,3.4,5.0,4.2,4.2,2.375705467372134
9,22,10,3,3,2,2,3,2,3,2,2,2,2,2.7142857142857144,2.066666666666667,2.4814814814814814,3.4,2.6,2.6,2.0,2.6,3.4,3.4,3.4,2.6,3.4,2.6,2.874823633156966
6,28,8,1,5,2,4,4,5,1,4,1,3,2,2.142857142857143,1.2666666666666666,2.185185185185185,1.8,1.0,2.6,4.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.8886684303350973
11,4,15,4,3,2,5,1,3,2,2,4,0,2,3.0952380952380953,4.466666666666667,3.2222222222222223,4.2,2.6,2.6,5.0,4.2,2.6,2.6,3.4,4.2,5.0,2.6,1.9465608465608468
20,13,18,4,1,4,1,2,1,4,2,4,1,4,4.809523809523809,3.2666666666666666,3.6666666666666665,4.2,4.2,4.2,1.0,3.4,4.2,4.2,3.4,4.2,4.2,4.2,2.7698412698412698
10,20,10,2,3,2,3,2,2,2,3,2,2,3,2.9047619047619047,2.3333333333333335,2.4814814814814814,2.6,2.6,2.6,3.0,3.4,3.4,2.6,2.6,2.6,3.4,3.4,2.757760141093474
3,29,5,1,5,2,4,4,5,1,5,1,3,1,1.5714285714285714,1.1333333333333329,1.7407407407407407,1.8,1.0,2.6,4.0,1.7999999999999998,1.0,1.8,1.0,1.8,2.6,1.8,2.846340388007055
11,16,13,2,2,3,3,3,3,2,3,2,3,3,3.0952380952380953,2.8666666666666667,2.9259259259259256,2.6,3.4,3.4,3.0,2.6,2.6,2.6,2.6,2.6,2.6,3.4,2.5175485008818344
18,7,21,3,1,4,2,2,2,3,1,5,1,4,4.428571428571429,4.066666666666666,4.111111111111111,3.4,4.2,4.2,2.0,3.4,3.4,3.4,4.2,5.0,4.2,4.2,2.3808201058201064
6,11,7,2,5,3,1,1,5,5,1,3,1,4,2.142857142857143,3.533333333333333,2.037037037037037,2.6,1.0,3.4,1.0,4.2,1.0,5.0,4.2,3.4,4.2,4.2,2.1574955908289244
10,21,10,2,2,2,3,3,2,3,2,2,2,2,2.9047619047619047,2.2,2.4814814814814814,2.6,3.4,2.6,3.0,2.6,3.4,3.4,3.4,2.6,3.4,2.6,2.8577601410934745
14,23,20,5,3,5,2,0,1,3,1,0,0,1,3.6666666666666665,1.9333333333333336,3.962962962962963,5.0,2.6,5.0,2.0,5.0,4.2,3.4,4.2,1.0,5.0,1.8,3.276234567901234
11,20,10,3,3,2,3,2,3,2,3,2,3,2,3.0952380952380953,2.3333333333333335,2.4814814814814814,3.4,2.6,2.6,3.0,3.4,2.6,2.6,2.6,2.6,2.6,2.6,2.732363315696649
6,17,1,2,0,2,3,2,5,0,3,5,0,0,2.142857142857143,2.7333333333333334,1.1481481481481481,2.6,5.0,2.6,3.0,3.4,1.0,1.0,2.6,5.0,5.0,1.0,2.4037918871252204
16,4,26,4,1,5,2,1,2,5,1,4,1,5,4.0476190476190474,4.466666666666667,4.851851851851851,4.2,4.2,5.0,2.0,4.2,3.4,5.0,4.2,4.2,4.2,5.0,2.362477954144621
17,12,26,3,1,4,2,1,2,3,2,4,1,5,4.238095238095238,3.4,4.851851851851851,3.4,4.2,4.2,2.0,4.2,3.4,3.4,3.4,4.2,4.2,5.0,2.7370811287477954
6,28,5,1,5,2,3,5,4,2,5,1,3,2,2.142857142857143,1.2666666666666666,1.7407407407407407,1.8,1.0,2.6,3.0,1.0,1.7999999999999998,2.6,1.0,1.8,2.6,2.6,2.828483245149912
13,21,10,2,3,2,3,3,2,3,2,2,3,2,3.4761904761904763,2.2,2.4814814814814814,2.6,2.6,2.6,3.0,2.6,3.4,3.4,3.4,2.6,2.6,2.6,2.8482363315696646
2,23,26,4,5,4,2,0,3,1,2,5,1,5,1.380952380952381,1.9333333333333336,4.851851851851851,4.2,1.0,4.2,2.0,5.0,2.6,1.8,3.4,5.0,4.2,5.0,3.2180335097001764
21,13,27,5,1,5,2,2,1,3,1,5,1,4,5.0,3.2666666666666666,5.0,5.0,4.2,5.0,2.0,3.4,4.2,3.4,4.2,5.0,4.2,4.2,2.975
16,9,27,5,1,4,1,2,1,4,2,5,1,4,4.0476190476190474,3.8,5.0,5.0,4.2,4.2,1.0,3.4,4.2,4.2,3.4,5.0,4.2,4.2,2.5936507936507938
16,9,17,4,1,3,1,2,2,5,2,4,1,5,4.0476190476190474,3.8,3.5185185185185186,4.2,4.2,3.4,1.0,3.4,3.4,5.0,3.4,4.2,4.2,5.0,2.4652557319223987
10,24,10,3,3,3,2,3,3,2,2,2,2,2,2.9047619047619047,1.7999999999999998,2.4814814814814814,3.4,2.6,3.4,2.0,2.6,2.6,2.6,3.4,2.6,3.4,2.6,2.9827601410934745
21,7,9,5,3,0,0,1,2,0,3,5,1,5,5.0,4.066666666666666,2.333333333333333,5.0,2.6,1.0,1.0,4.2,3.4,1.0,2.6,5.0,4.2,5.0,2.0555555555555554
20,5,20,3,1,4,2,1,2,3,2,4,1,5,4.809523809523809,4.333333333333334,3.962962962962963,3.4,4.2,4.2,2.0,4.2,3.4,3.4,3.4,4.2,4.2,5.0,2.257186948853615
15,7,15,5,1,4,2,2,1,3,2,4,1,4,3.857142857142857,4.066666666666666,3.2222222222222223,5.0,4.2,4.2,2.0,3.4,4.2,3.4,3.4,4.2,4.2,4.2,2.3533068783068787
19,10,20,4,1,4,2,2,2,3,1,4,1,5,4.619047619047619,3.666666666666667,3.962962962962963,4.2,4.2,4.2,2.0,3.4,3.4,3.4,4.2,4.2,4.2,5.0,2.6159171075837744
17,13,27,4,1,5,2,1,2,3,1,5,1,4,4.238095238095238,3.2666666666666666,5.0,4.2,4.2,5.0,2.0,4.2,3.4,3.4,4.2,5.0,4.2,4.2,2.909920634920635
7,13,17,5,1,1,1,0,0,0,2,5,1,4,2.333333333333333,3.2666666666666666,3.5185185185185186,5.0,4.2,1.8,1.0,5.0,5.0,1.0,3.4,5.0,4.2,4.2,2.593827160493827
12,15,10,2,2,3,3,3,2,3,2,2,3,2,3.2857142857142856,3.0,2.4814814814814814,2.6,3.4,3.4,3.0,2.6,3.4,3.4,3.4,2.6,2.6,2.6,2.506966490299823
16,11,16,1,5,5,1,1,1,5,4,3,1,2,4.0476190476190474,3.533333333333333,3.3703703703703702,1.8,1.0,5.0,1.0,4.2,4.2,5.0,1.7999999999999998,3.4,4.2,2.6,2.292416225749559
1,26,2,1,4,1,3,4,4,1,4,1,3,2,1.1904761904761905,1.5333333333333332,1.2962962962962963,1.8,1.7999999999999998,1.8,3.0,1.7999999999999998,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,2.6,2.670282186948854
13,24,10,2,3,2,2,2,2,3,3,3,2,2,3.4761904761904763,1.7999999999999998,2.4814814814814814,2.6,2.6,2.6,2.0,3.4,3.4,3.4,2.6,3.4,3.4,2.6,3.0399029982363315
8,29,5,1,5,2,4,4,5,1,4,1,3,2,2.5238095238095237,1.1333333333333329,1.7407407407407407,1.8,1.0,2.6,4.0,1.7999999999999998,1.0,1.8,1.7999999999999998,1.8,2.6,2.6,2.9526895943562614
19,6,19,5,1,3,1,1,1,3,1,4,1,4,4.619047619047619,4.2,3.814814814814815,5.0,4.2,3.4,1.0,4.2,4.2,3.4,4.2,4.2,4.2,4.2,2.3347442680776016
11,19,13,3,2,3,3,2,3,3,3,3,3,2,3.0952380952380953,2.466666666666667,2.9259259259259256,3.4,3.4,3.4,3.0,3.4,2.6,3.4,2.6,3.4,2.6,2.6,2.817548500881834
9,24,10,3,2,2,2,2,3,2,2,2,2,3,2.7142857142857144,1.7999999999999998,2.4814814814814814,3.4,3.4,2.6,2.0,3.4,2.6,2.6,3.4,2.6,3.4,3.4,3.041490299823633
5,26,1,1,4,1,3,5,4,2,4,1,3,1,1.9523809523809523,1.5333333333333332,1.1481481481481481,1.8,1.7999999999999998,1.8,3.0,1.0,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,1.8,2.6625220458553795
13,6,8,1,1,4,2,3,4,3,4,4,0,2,3.4761904761904763,4.2,2.185185185185185,1.8,4.2,4.2,2.0,2.6,1.7999999999999998,3.4,1.7999999999999998,4.2,5.0,2.6,1.8275573192239858
19,24,10,4,2,2,5,0,3,2,3,3,1,1,4.619047619047619,1.7999999999999998,2.4814814814814814,4.2,3.4,2.6,5.0,5.0,2.6,2.6,2.6,3.4,4.2,1.8,3.279188712522046
10,23,13,2,2,3,3,2,3,2,3,2,3,3,2.9047619047619047,1.9333333333333336,2.9259259259259256,2.6,3.4,3.4,3.0,3.4,2.6,2.6,2.6,2.6,2.6,3.4,3.0096119929453264
11,24,11,3,2,3,2,3,2,2,2,2,2,2,3.0952380952380953,1.7999999999999998,2.6296296296296298,3.4,3.4,3.4,2.0,2.6,3.4,2.6,3.4,2.6,3.4,2.6,3.063536155202822
19,3,21,3,1,4,2,2,2,4,2,4,1,4,4.619047619047619,4.6,4.111111111111111,3.4,4.2,4.2,2.0,3.4,3.4,4.2,3.4,4.2,4.2,4.2,2.0887566137566136
1,30,0,1,4,1,4,4,5,1,5,1,3,1,1.1904761904761905,1.0,1.0,1.8,1.7999999999999998,1.8,4.0,1.7999999999999998,1.0,1.8,1.0,1.8,2.6,1.8,2.8662698412698413
13,24,14,2,2,3,3,3,2,3,2,2,2,2,3.4761904761904763,1.7999999999999998,3.074074074074074,2.6,3.4,3.4,3.0,2.6,3.4,3.4,3.4,2.6,3.4,2.6,3.139594356261023
4,8,12,1,4,4,2,2,1,1,4,2,1,0,1.7619047619047619,3.9333333333333336,2.7777777777777777,1.8,1.7999999999999998,4.2,2.0,3.4,4.2,1.8,1.7999999999999998,2.6,4.2,1.0,1.7474867724867724
12,19,9,3,2,3,3,2,2,2,3,2,2,3,3.2857142857142856,2.466666666666667,2.333333333333333,3.4,3.4,3.4,3.0,3.4,3.4,2.6,2.6,2.6,3.4,3.4,2.8007936507936506
9,17,12,3,3,2,2,3,2,2,3,3,2,3,2.7142857142857144,2.7333333333333334,2.7777777777777777,3.4,2.6,2.6,2.0,2.6,3.4,2.6,2.6,3.4,3.4,3.4,2.553835978835979
9,22,13,2,3,2,2,3,2,2,2,2,2,3,2.7142857142857144,2.066666666666667,2.9259259259259256,2.6,2.6,2.6,2.0,2.6,3.4,2.6,3.4,2.6,3.4,3.4,2.860008818342152
3,26,1,1,4,2,4,5,4,1,4,1,3,2,1.5714285714285714,1.5333333333333332,1.1481481481481481,1.8,1.7999999999999998,2.6,4.0,1.0,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,2.6,2.7216490299823635
4,30,8,1,4,1,4,5,4,1,5,1,3,2,1.7619047619047619,1.0,2.185185185185185,1.8,1.7999999999999998,1.8,4.0,1.0,1.7999999999999998,1.8,1.0,1.8,2.6,2.6,2.972795414462081
3,30,0,1,5,1,3,5,5,1,4,1,3,1,1.5714285714285714,1.0,1.0,1.8,1.0,1.8,3.0,1.0,1.0,1.8,1.7999999999999998,1.8,2.6,1.8,2.8071428571428574
13,20,12,3,2,2,2,2,2,2,3,2,2,2,3.4761904761904763,2.3333333333333335,2.7777777777777777,3.4,3.4,2.6,2.0,3.4,3.4,2.6,2.6,2.6,3.4,2.6,2.7855820105820106
15,9,25,3,1,5,2,1,2,3,2,4,1,5,3.857142857142857,3.8,4.703703703703704,3.4,4.2,5.0,2.0,4.2,3.4,3.4,3.4,4.2,4.2,5.0,2.54836860670194
16,13,20,3,1,5,1,1,1,5,1,5,1,5,4.0476190476190474,3.2666666666666666,3.962962962962963,3.4,4.2,5.0,1.0,4.2,4.2,5.0,4.2,5.0,4.2,5.0,2.917107583774251
21,2,21,5,1,5,2,1,2,4,2,5,1,5,5.0,4.733333333333333,4.111111111111111,5.0,4.2,5.0,2.0,4.2,3.4,4.2,3.4,5.0,4.2,5.0,2.237962962962963
13,25,11,2,2,3,2,3,2,3,3,3,3,3,3.4761904761904763,1.666666666666666,2.6296296296296298,2.6,3.4,3.4,2.0,2.6,3.4,3.4,2.6,3.4,2.6,3.4,3.1794091710758376
11,21,12,2,3,2,2,2,2,3,3,2,3,2,3.0952380952380953,2.2,2.7777777777777777,2.6,2.6,2.6,2.0,3.4,3.4,3.4,2.6,2.6,2.6,2.6,2.803042328042328
6,26,0,1,4,1,4,4,4,2,4,1,3,1,2.142857142857143,1.5333333333333332,1.0,1.8,1.7999999999999998,1.8,4.0,1.7999999999999998,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,1.8,2.7392857142857148
9,22,12,3,3,2,3,3,3,2,2,2,2,3,2.7142857142857144,2.066666666666667,2.7777777777777777,3.4,2.6,2.6,3.0,2.6,2.6,2.6,3.4,2.6,3.4,3.4,2.8955026455026456
12,22,20,5,4,3,3,1,2,2,4,0,0,0,3.2857142857142856,2.066666666666667,3.962962962962963,5.0,1.7999999999999998,3.4,3.0,4.2,3.4,2.6,1.7999999999999998,1.0,5.0,1.0,2.902028218694885
12,16,10,3,3,3,3,3,3,3,2,2,3,3,3.2857142857142856,2.8666666666666667,2.4814814814814814,3.4,2.6,3.4,3.0,2.6,2.6,3.4,3.4,2.6,2.6,3.4,2.57363315696649
14,21,14,2,2,2,3,3,2,3,3,3,3,2,3.6666666666666665,2.2,3.074074074074074,2.6,3.4,2.6,3.0,2.6,3.4,3.4,2.6,3.4,2.6,2.6,2.9141975308641976
6,26,3,1,4,2,4,4,4,1,4,1,3,1,2.142857142857143,1.5333333333333332,1.4444444444444444,1.8,1.7999999999999998,2.6,4.0,1.7999999999999998,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,1.8,2.757804232804233
7,27,4,1,4,2,3,4,4,2,4,1,3,2,2.333333333333333,1.4000000000000004,1.5925925925925926,1.8,1.7999999999999998,2.6,3.0,1.7999999999999998,1.7999999999999998,2.6,1.7999999999999998,1.8,2.6,2.6,2.86358024691358
6,30,4,1,4,1,4,5,4,2,5,1,3,2,2.142857142857143,1.0,1.5925925925925926,1.8,1.7999999999999998,1.8,4.0,1.0,1.7999999999999998,2.6,1.0,1.8,2.6,2.6,2.997310405643739
21,7,20,4,1,3,2,1,2,5,1,5,1,4,5.0,4.066666666666666,3.962962962962963,4.2,4.2,3.4,2.0,4.2,3.4,5.0,4.2,5.0,4.2,4.2,2.498456790123457
16,10,25,3,1,4,2,2,2,5,1,5,1,5,4.0476190476190474,3.666666666666667,4.703703703703704,3.4,4.2,4.2,2.0,3.4,3.4,5.0,4.2,5.0,4.2,5.0,2.689638447971781
7,27,0,1,4,2,3,4,4,1,4,1,3,2,2.333333333333333,1.4000000000000004,1.0,1.8,1.7999999999999998,2.6,3.0,1.7999999999999998,1.7999999999999998,1.8,1.7999999999999998,1.8,2.6,2.6,2.8055555555555554
16,6,19,3,1,3,1,2,2,3,1,5,1,5,4.0476190476190474,4.2,3.814814814814815,3.4,4.2,3.4,1.0,3.4,3.4,3.4,4.2,5.0,4.2,5.0,2.2442680776014106
13,18,12,3,3,3,3,2,3,3,3,2,3,3,3.4761904761904763,2.6,2.7777777777777777,3.4,2.6,3.4,3.0,3.4,2.6,3.4,2.6,2.6,2.6,3.4,2.727248677248677
